Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
"$1,481 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,10/19/16,,,,Maine Ethics Commission
"$2,315 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,10/20/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Guy Michael Lebida,PAC,10/24/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Eric L Brakey,PAC,10/24/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,N. Laurence Willey Jr.,PAC,10/25/16,,,,Maine Ethics Commission
"$10,000 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Senate Republican Majority,PAC,10/28/16,,,,Maine Ethics Commission
"$5,000 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Senate Republican Majority,PAC,11/1/16,,,,Maine Ethics Commission
"$5,000 ",Charting Maine's Future,MASON GARRETT PAUL,Senate Chairmans Pac,PAC,11/1/16,,,,Maine Ethics Commission
"($5,000)",Charting Maine's Future,MASON GARRETT PAUL,Senate Chairmans Pac,PAC,11/1/16,,,,Maine Ethics Commission
$750 ,Charting Maine's Future,MASON GARRETT PAUL,Maine Senate Republican Majority,PAC,11/3/16,,,,Maine Ethics Commission
$400 ,Charting Maine's Future,MASON GARRETT PAUL,Richard G Mason,PAC,9/26/17,,,,Maine Ethics Commission
$400 ,Charting Maine's Future,MASON GARRETT PAUL,Bruce A Bickford,PAC,12/15/17,,,,Maine Ethics Commission
$400 ,Charting Maine's Future,MASON GARRETT PAUL,Jeffrey Lloyd Timberlake,PAC,12/15/17,,,,Maine Ethics Commission
$400 ,Charting Maine's Future,MASON GARRETT PAUL,Jeffrey Lloyd Timberlake,PAC,12/15/17,,,,Maine Ethics Commission
"$2,500 ",Charting Maine's Future,MASON GARRETT PAUL,Respect Maine,PAC,12/18/17,,,,Maine Ethics Commission
$300 ,Mason,MASON GARRETT PAUL,Maine Republican Party,Personal,4/10/14,,State Of Maine,,Opensecrets.org
$245 ,Mason,MASON GARRETT PAUL,Maine Republican Party,Personal,3/29/16,,State Of Maine,,Opensecrets.org
$35 ,Mason,MASON GARRETT PAUL,Maine Republican Party,Personal,4/8/16,,State Of Maine,,Opensecrets.org
"$1,350 ",Mason,MASON GARRETT PAUL,Maine Republican Party,Personal,6/13/16,,State Of Maine,,Opensecrets.org
$100 ,Mason,MASON GARRETT PAUL,Garrett Paul Mason,Self-financing,3/18/10,,,,National Institute on Money in State Politics
$100 ,Mason,MASON GARRETT PAUL,Dale J Crafts,Personal,3/20/10,,Not Employed,,National Institute on Money in State Politics
$200 ,Mason,MASON GARRETT PAUL,Paul R Lepage,Personal,8/11/10,Self-employed,Graphic Designer,,National Institute on Money in State Politics
$25 ,Mason,MASON GARRETT PAUL,Alexander R Willette,Personal,6/13/12,State Of Maine,State Senator,,National Institute on Money in State Politics
